ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
11374,EP,9999,021,Independent Study,"1 - 12","Charles Sackett","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11375,EP,9999,022,Independent Study,"1 - 12","John Scully","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11376,EP,9999,023,Independent Study,"1 - 12","Gary Shiflet","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11377,EP,9999,024,Independent Study,"1 - 12","William Soffa","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11378,EP,9999,025,Independent Study,"1 - 12","Haydn Wadley","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11379,EP,9999,026,Independent Study,"1 - 12","Mark Williams","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11380,EP,9999,028,Independent Study,"1 - 12","Giovanni Zangari","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11381,EP,9999,029,Independent Study,"1 - 12","Leonid Zhigilei","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11498,EP,9999,031,Independent Study,"1 - 12","Pamela Norris","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11568,EP,9999,032,Independent Study,"1 - 12","Patrick Hopkins","TBA","TBA","Ph.D. Dissertation Research","",Open,0,30,0,"Formal record of commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
10568,EVGE,7999,001,Independent Study,"1 - 6","Stephen Macko","TBA","TBA","Independent Study-Geosciences","",Open,0,30,0,"Individual or group study in developing or special areas of geosciences and interrelated areas, emphasizing earth-surface processes."
10269,EVSC,1010,001,Lecture,"3","Thomas Smith","MoTuWeThFr 10:30AM - 12:45PM","Clark Hall G004","Introduction to Environmental Sciences","",Open,0,25,0,"Introduces the principles and basic facts of the natural environment. Topics include earth materials, land forms, weather and climate, vegetation and soils, and the processes of environmental change and their implications to economic and human systems."
10289,EVSC,1020,001,Lecture,"1","Ian Fitzsimmons","MoTuWeThFr 3:30PM - 4:45PM","Clark Hall G004","Practical Concepts in Environmental Sciences","",Open,0,15,0,"Practical concepts and problem solving in environmental sciences through demonstrations, hands-on activities, structured discussions, and problem sets beyond those of traditional lectures or discussion groups. Emphasizes experience and critical thinking in the four core areas: geology, hydrology, atmospheric sciences, and ecology."
10611,EVSC,1300,001,Lecture,"3","Ian Fitzsimmons","MoTuWeThFr 1:00PM - 3:15PM","Clark Hall G004","Earth's Weather and Climate","",Open,0,20,0,"An overview of the atmospheric sciences primarily for non-science majors.  Topics include weather forecasting, the greenhouse effect and global warming, ozone depletion, El Niño, air pollution, atmospheric optical effects, global climate, and the impacts of weather on human health.  Three lectures per week.  No science/math background is required."
10612,EVSC,1600,001,Lecture,"3","Raymond Dueser","MoTuWeThFr 1:00PM - 3:15PM","Clark Hall G004","Water on Earth","",Open,0,25,0,"Studies the natural history of the Earth's hydrosphere, including its origin, evolution, and importance in Earth processes. Introduces the hydrological cycle and the role of water in a variety of Earth processes. Discusses human influences on the hydrosphere and current topics in hydrological science and water resources, such as contamination and resource allocation, emphasizing the scientific basis for past, present, and future decisions."
10225,EVSC,2050,001,Lecture,"3","Stephen Macko","MoTuWeThFr 10:30AM - 12:45PM","Clark Hall G004","Introduction to Oceanography","",Open,0,20,0,"Analyzes the principles that govern the world's oceans and their integration into an understanding of the major marine environments. Topics include marine pollution, global climate, and marine policy."
12355,EVSC,2900,001,Lecture,"3","Lauren Simkins","MoTuWeThFr 10:30AM - 12:45PM","Clark Hall G004","Beaches, Coasts and Rivers","",Open,0,20,0,"Studies the geologic framework and biophysical processes of the coastal zone, and the role of the major river systems in modifying the coastal environment. Emphasizes human modifications, including case studies along the Atlantic, Gulf, and Pacific coasts."
10613,EVSC,3020,001,Lecture,"4","Melissa Hey","MoTuWeThFr 8:00AM - 10:15AM","Clark Hall G004","GIS Methods","",Open,0,12,0,"Explores the theory of Geographic Information Systems (GIS) and their applications in a range of disciplines using various GIS software packages. Example applications are from physical and social sciences, often with a focus on the Charlottesville-Albemarle area. For students interested in immediate applications of GIS in their work.  Experience with word processing, file managers, and other computing skills is essential.  Prerequisite: The equivalent of the College natural science/mathematics and social science area requirements."
10226,EVSC,4050,001,Lecture,"3","Stephen Macko","MoTuWeThFr 10:30AM - 12:45PM","Clark Hall G004","Topics in Oceanography","",Open,0,7,0,"Introduces oceanography together with a survey of marine resources and the scientific bases for their management.  Prerequisite: One year college-level science."
12356,EVSC,4850,001,Lecture,"3","Lauren Simkins","MoTuWeThFr 10:30AM - 12:45PM","Clark Hall G004","Coastal Processes","",Open,0,20,0,"Reviews wave generation, wave prediction, wave refraction, transformation, shoaling, and associated inshore currents. Topics include the generation of littoral drift and shallow water surge; beach and barrier island geomorphology and problems of erosion. Includes the historical development of research in coastal processes and a quantitative analysis of spatial patterns along sandy coasts.  Prerequisite: EVSC 2800; corequisite: EVSC 4851."
12357,EVSC,4860,001,Lecture,"3","Thomas Biggs","MoTuWeThFr 8:00AM - 8:50AM","Maury Hall 112","Geology of Virginia","",Open,0,20,0,"The course examines the geological evolution of the state and mid-Atlantic region in the context of plate tectonics, including stratigraphy, mountain building, metamorphism and deformation, and geomorphic processes. The human impact on this landscape through the exploitation of mineral resources is examined. Field trips to the various provinces of the state will help provide fundamental understanding of the state's foundation.  Prerequisite: Required prerequisite course EVSC 2800 or equivalent college-level introductory geology course by transfer credit."
10507,EVSC,4993,003,Independent Study,"1 - 6","Stephen Macko","TBA","TBA","Independent Study","",Open,0,30,0,"Specialized topics in ecology, atmosphere, hydrology, environmental geology, or environmental systems not normally covered in formal classes under the direction of the faculty.  Prerequisite: Instructor permission."
10534,EVSC,4993,008,Independent Study,"1 - 6","Stephen Macko","TBA","TBA","Independent Study","",Open,0,30,0,"Specialized topics in ecology, atmosphere, hydrology, environmental geology, or environmental systems not normally covered in formal classes under the direction of the faculty.  Prerequisite: Instructor permission."
10559,EVSC,4993,012,Independent Study,"1 - 6","Stephen Macko","TBA","TBA","Independent Study","",Open,0,30,0,"Specialized topics in ecology, atmosphere, hydrology, environmental geology, or environmental systems not normally covered in formal classes under the direction of the faculty.  Prerequisite: Instructor permission."
10777,EVSC,4993,014,Independent Study,"1 - 6","Xi Yang","TBA","TBA","Independent Study","",Open,0,30,0,"Specialized topics in ecology, atmosphere, hydrology, environmental geology, or environmental systems not normally covered in formal classes under the direction of the faculty.  Prerequisite: Instructor permission."
10791,EVSC,4993,015,Independent Study,"1 - 6","Xi Yang","TBA","TBA","Independent Study","",Open,0,30,0,"Specialized topics in ecology, atmosphere, hydrology, environmental geology, or environmental systems not normally covered in formal classes under the direction of the faculty.  Prerequisite: Instructor permission."
10792,EVSC,4993,016,Independent Study,"1 - 6","Xi Yang","TBA","TBA","Independent Study","",Open,0,30,0,"Specialized topics in ecology, atmosphere, hydrology, environmental geology, or environmental systems not normally covered in formal classes under the direction of the faculty.  Prerequisite: Instructor permission."
10793,EVSC,4993,017,Independent Study,"1 - 6","Xi Yang","TBA","TBA","Independent Study","",Open,0,30,0,"Specialized topics in ecology, atmosphere, hydrology, environmental geology, or environmental systems not normally covered in formal classes under the direction of the faculty.  Prerequisite: Instructor permission."
10596,EVSC,4995,001,Independent Study,"1 - 6","Matthew Reidenbach","TBA","TBA","Supervised Research","",Open,0,10,0,"Original research usually involving a field or laboratory problem in the environmental sciences under the direction of one or more faculty members. The results may form the basis of an undergraduate thesis which is required to partially fulfill the Distinguished Majors Program in environmental sciences.  Prerequisite: Instructor permission."
10597,EVSC,4995,002,Independent Study,"1 - 6","Herman Shugart","TBA","TBA","Supervised Research","",Open,0,10,0,"Original research usually involving a field or laboratory problem in the environmental sciences under the direction of one or more faculty members. The results may form the basis of an undergraduate thesis which is required to partially fulfill the Distinguished Majors Program in environmental sciences.  Prerequisite: Instructor permission."
